search,Title,Price,Sale,URL
camera,Nikon D60 Digital Camera,149.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/digital-cameras/nikon-d60-digital-camera/10024-0001-0307.html
camera,Not Tested Panasonic SDR-S70 Camera 78x Camera,29.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/camcorders/not-tested-panasonic-sdr-s70-camera-78x-camera/10015-0001-0461.html
camera,Instax Fim Camera,105.4,"Discount:
(15% OFF)",https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/instax-fim-camera/10011-0000-59361.html
camera,Model EK6 Instant Camera,23.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/model-ek6-instant-camera/10011-0001-7519.html
camera,Instax Mini 9 Camera,35.0,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/instax-mini-9-camera/10011-0000-603199.html
camera,Olympus IS-20 Quartzdate Camera,21.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/olympus-is-20-quartzdate-camera/10014-0001-25566.html
camera,Kodak Box Camera in Case,50.0,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/kodak-box-camera-in-case/10011-0001-2839.html
camera,Vivitar 220/SL Film Camera,30.0,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/vivitar-220%2Fsl-film-camera/10011-0001-14019.html
camera,Argus Anastigmat Film Camera,20.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/argus-anastigmat-film-camera/10011-0001-8608.html
camera,Argus 35 HFM Camera,27.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/argus-35-hfm-camera/10014-0001-28070.html
camera,Petri SLR Film Camera,50.0,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/petri-slr-film-camera/10011-0001-14032.html
camera,Polaroid Now Instant Camera,39.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/polaroid-now-instant-camera/10014-0001-23224.html
camera,Lomography Fisheye 35mm Camera,19.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/lomography-fisheye-35mm-camera/10014-0001-18313.html
camera,Photoflex MX-35 Photo Camera,18.99,N/A,https://www.goodwillfinds.com//electronics/cameras-and-photography/film-and-polaroid-cameras/photoflex-mx-35-photo-camera/10015-0001-0657.html
